experiment,status,metric,value,unit,category,model,timestamp
audio_experiment,COMPLETED,accuracy,33.33333333333333,%,ACTUAL,MobileNetV2,
audio_experiment,COMPLETED,inference_time_mean_ms,13.628636669212332,ms,ACTUAL,MobileNetV2,
audio_experiment,COMPLETED,inference_time_std_ms,1.7963128359196325,ms,ACTUAL,MobileNetV2,
audio_experiment,COMPLETED,model_size_mb,8.72761058807373,MB,ACTUAL,MobileNetV2,
audio_experiment,COMPLETED,macro_f1,16.666666666666664,%,ACTUAL,MobileNetV2,
audio_experiment,COMPLETED,macro_precision,11.11111111111111,%,ACTUAL,MobileNetV2,
audio_experiment,COMPLETED,macro_recall,33.33333333333333,%,ACTUAL,MobileNetV2,
battery_experiment,NOT_RUN,mean_drain_per_hour,,%/hr,NOT_RUN,,
blockchain_experiment,NOT_RUN,registration_latency_ms,,ms,NOT_RUN,,
blockchain_experiment,NOT_RUN,gas_used,,gas,NOT_RUN,,
edge_ai_experiment,COMPLETED,inference_time_mean_ms,13.676802000845782,ms,ACTUAL,MobileNetV2,
edge_ai_experiment,COMPLETED,inference_time_p95_ms,15.230195014737546,ms,ACTUAL,MobileNetV2,
edge_ai_experiment,COMPLETED,param_count,2227139.0,params,ACTUAL,MobileNetV2,
edge_ai_experiment,COMPLETED,model_size_mb,8.72761058807373,MB,ACTUAL,MobileNetV2,
edge_ai_experiment,COMPLETED,inference_time_mean_ms,7.815548000507988,ms,ACTUAL,CNN_Baseline,
edge_ai_experiment,COMPLETED,inference_time_p95_ms,16.337495006155216,ms,ACTUAL,CNN_Baseline,
edge_ai_experiment,COMPLETED,param_count,388611.0,params,ACTUAL,CNN_Baseline,
emergency_decision_experiment,COMPLETED,accuracy,100.0,%,ACTUAL,,2026-08-26 19:21:11.178313+00:00
emergency_decision_experiment,COMPLETED,tpr,100.0,%,ACTUAL,,2026-08-26 19:21:11.178313+00:00
emergency_decision_experiment,COMPLETED,fpr,0.0,%,ACTUAL,,2026-08-26 19:21:11.178313+00:00
emergency_decision_experiment,COMPLETED,precision,100.0,%,ACTUAL,,2026-08-26 19:21:11.178313+00:00
emergency_decision_experiment,COMPLETED,mean_decision_latency_ms,0.011220003943890333,ms,ACTUAL,,2026-08-26 19:21:11.178313+00:00
emergency_decision_experiment,COMPLETED,n_test_cases,10.0,cases,ACTUAL,,2026-08-26 19:21:11.178313+00:00
emergency_decision_experiment,COMPLETED,accuracy,100.0,%,ACTUAL,,
emergency_decision_experiment,COMPLETED,tpr,100.0,%,ACTUAL,,
emergency_decision_experiment,COMPLETED,fpr,0.0,%,ACTUAL,,
emergency_decision_experiment,COMPLETED,precision,100.0,%,ACTUAL,,
emergency_decision_experiment,COMPLETED,mean_decision_latency_ms,0.008450006134808064,ms,ACTUAL,,
emergency_decision_experiment,COMPLETED,n_test_cases,10.0,cases,ACTUAL,,
emergency_response_experiment,NOT_RUN,acknowledgment_time_s,,s,NOT_RUN,,
field_test_experiment,NOT_RUN,success_rate,,%,NOT_RUN,,
